SEER_historic_stage_LRD,Year_of_diagnosis_BC,Age_breast,follow-up,link,r,cure,lambda,k,theta,surv_curemodel,surv_notcured,median_surv_notcured,s1_numerical,G_numerical,CI_numerical,s1_analytical,G_analytical,CI_analytical,se_CI_analytical,obs_surv,obs_dist_surv
1,1,0,4,Loglogistic,1.5,0.469340999315569,6.78793383516147,1.49218294267681,0.315268862753992,0.834247368205993,0.6876475635385,6.78793383516147,0.544452479865955,0.758259608201397,0.241740391798603,0.433496573272958,0.699379857688722,0.300620142311278,0.00869700671912096,0.81558,0.30063
1,1,0,5,Loglogistic,1.5,0.469340999315569,6.78793383516147,1.49218294267681,0.315268862753992,0.794160548177562,0.612105982265539,6.78793383516147,0.473708630211284,0.72071874763908,0.27928125236092,0.387350293729244,0.67489191910075,0.32510808089925,0.00787412884330427,0.77685,0.25314
1,1,0,6,Loglogistic,1.5,0.469340999315569,6.78793383516147,1.49218294267681,0.315268862753992,0.759027458544161,0.54589945493238,6.78793383516147,0.415669558588454,0.689919791891056,0.310080208108944,0.350350983934889,0.655257902339264,0.344742097660736,0.00708621673676173,0.7447,0.22203
1,1,0,7,Loglogistic,1.5,0.469340999315569,6.78793383516147,1.49218294267681,0.315268862753992,0.728581614307212,0.488525804061141,6.78793383516147,0.36716883214288,0.664182444862979,0.335817555137021,0.319577363480152,0.638927603661312,0.361072396338688,0.00640807815898453,0.71369,0.19847
1,1,0,8,Loglogistic,1.5,0.469340999315569,6.78793383516147,1.49218294267681,0.315268862753992,0.702308584170536,0.439015609938758,6.78793383516147,0.325534910404933,0.642089029558946,0.357910970441054,0.293308164753094,0.62498761691603,0.37501238308397,0.0058595276242083,0.69274,0.18555
1,1,0,9,Loglogistic,1.5,0.469340999315569,6.78793383516147,1.49218294267681,0.315268862753992,0.679640391834236,0.396298550005611,6.78793383516147,0.29254066925537,0.624580338522178,0.375419661477822,0.270480432233486,0.612873875189284,0.387126124810716,0.00543494726142087,0.67692,0.16594
1,1,0,10,Loglogistic,1.5,0.469340999315569,6.78793383516147,1.49218294267681,0.315268862753992,0.660040315282047,0.359363198816035,6.78793383516147,0.263932184991514,0.609398988851624,0.390601011148376,0.250398336505788,0.602217130338774,0.397782869661226,0.00511821550950553,0.66036,0.1518
1,1,0,11,Loglogistic,1.5,0.469340999315569,6.78793383516147,1.49218294267681,0.315268862753992,0.643034213466676,0.327316061589613,6.78793383516147,0.240112918056615,0.596759080462915,0.403240919537085,0.232577523026638,0.592760355266545,0.407239644733455,0.00489018085571847,0.64504,0.13887
1,1,0,12,Loglogistic,1.5,0.469340999315569,6.78793383516147,1.49218294267681,0.315268862753992,0.628217010570857,0.299393793472594,6.78793383516147,0.218368168968093,0.585220033641466,0.414779966358534,0.216661222914894,0.584314227354653,0.415685772645347,0.00473233583437499,0.63231,0.13268
1,1,0,13,Loglogistic,1.5,0.469340999315569,6.78793383516147,1.49218294267681,0.315268862753992,0.615248522912733,0.274955335552542,6.78793383516147,0.199572416258739,0.575245898291609,0.424754101708391,0.202374067509211,0.57673261974445,0.42326738025555,0.00462847384528018,0.61957,0.12798
